年,地區,平均每戶全年交通費用,交通費用占家庭支出之百分比,汽車數合計,小客車數,大客車、大小貨車數,汽車持有率總計,小客車持有率,機車數,機車持有率
2020,臺閩地區,95744,9.303021558,8125594,6984750,1140844,344.5650282,296.1876487,14103763,598.0687068
2020,臺灣地區,95744,9.303021558,8077924,6942715,1135209,344.788967,296.3349907,14026462,598.6896317
2020,北部區域,108476.4286,9.508890271,3296142,2928056,368086,306.709003,272.4582668,5460940,508.1454205
2020,臺北市,99527,7.093440526,806356,728947,77409,307.3319868,277.8285643,946851,360.8798087
2020,新北市,86264,8.548455186,1030660,912214,118446,256.07573,226.6468728,2211719,549.5192959
2020,基隆市,69004,7.862834536,98243,88888,9355,266.7943026,241.3893302,184922,502.1847462
2020,新竹市,99041,7.73673192,159361,144436,14925,354.0509767,320.8922313,272535,605.4886888
2020,桃園市,116357,10.38654178,806716,711525,95191,357.1243274,314.9843155,1265968,560.4301521
2020,新竹縣,188226,13.82040218,231347,204192,27155,407.764817,359.9022832,307537,542.0548723
2020,宜蘭縣,100916,10.81192273,163459,137854,25605,360.3335299,303.8891614,271408,598.2992841
2020,中部區域,89758.6,10.52335022,2332455,1962888,369567,401.9155501,338.2338396,3641275,627.4440642
2020,臺中市,99469,9.25379105,1108976,963099,145877,393.5296506,341.7639452,1755563,622.9765964
2020,苗栗縣,111493,12.80257308,224173,191876,32297,412.0641626,352.6973509,322373,592.570739
2020,彰化縣,73640,9.781899766,503982,413761,90221,396.9187296,325.8638016,819659,645.5349773
2020,南投縣,87357,11.14298616,214272,172512,41760,435.0947871,350.298088,311784,633.0999529
2020,雲林縣,76834,9.822958164,281052,221640,59412,413.865919,326.3781873,431896,635.9927521
2020,南部區域,84758.5,9.871190486,2241796,1885709,356087,353.7561967,297.565543,4569342,721.0437736
2020,高雄市,96613,9.544381329,912403,779762,132641,329.4390996,281.5467411,2038102,735.8924596
2020,臺南市,92117,10.30826199,698041,596101,101940,371.71134,317.4276317,1326431,706.3330727
2020,嘉義市,84565,9.137627923,96233,83250,12983,360.6291983,311.9759413,177839,666.4443174
2020,嘉義縣,89128,12.32824037,206002,162757,43245,410.9380268,324.6718013,325849,650.0118692
2020,屏東縣,85295,10.11408359,295924,235374,60550,362.6870739,288.4764579,618960,758.6028549
2020,澎湖縣,60833,8.065341557,33193,28465,4728,314.3886834,269.6072628,82161,778.190842
2020,東部區域,68477.5,9.792467333,207531,166062,41469,383.3720805,306.7663839,354905,655.6161162
2020,花蓮縣,70296,9.23291518,126157,103010,23147,387.8060739,316.6522957,200850,617.4120338
2020,臺東縣,66659,10.46103965,81374,63052,18322,376.6948584,291.8790303,154055,713.1482587
2020,福建省,0,0,47670,42035,5635,310.4020837,273.7099137,77301,503.3436432
2020,金門縣,0,0,44086,39033,5053,314.0229787,278.030643,70073,499.1274369
2020,連江縣,0,0,3584,3002,582,271.8446602,227.7002427,7228,548.2402913
